datetime,Open,High,Low,Close,Volume
2023-04-08,27890.70000,28153.60000,27850.10000,27924.90000,159129.56000
2023-04-09,27924.90000,28539.10000,27762.80000,28309.40000,305861.88000
2023-04-10,28309.40000,29840.00000,28153.60000,29623.10000,580061.92500
2023-04-11,29623.10000,30564.00000,29573.90000,30185.10000,628978.49100
2023-04-12,30185.10000,30480.00000,29620.00000,29875.00000,563668.43000
2023-04-13,29874.90000,30648.90000,29836.70000,30362.70000,436182.49400
2023-04-14,30362.70000,31059.00000,29925.00000,30453.10000,615391.61500
2023-04-15,30453.00000,30599.90000,30186.00000,30280.40000,180234.08200
2023-04-16,30280.40000,30560.00000,30102.00000,30286.60000,210226.01900
2023-04-17,30286.60000,30307.40000,29219.90000,29420.00000,455518.54800
2023-04-18,29420.10000,30480.00000,29078.10000,30365.80000,533189.27000
2023-04-19,30365.80000,30410.00000,28557.30000,28795.10000,643866.11000
